SMITH	1	2442977	1	2376206	66771	2.8%	0
JOHNSON	2	1932812	2	1857160	75652	4.1%	0
WILLIAMS	3	1625252	3	1534042	91210	5.9%	0
BROWN	4	1437026	4	1380145	56881	4.1%	0
JONES	5	1425470	5	1362755	62715	4.6%	0
GARCIA	6	1166120	8	858289	307831	35.9%	2
MILLER	7	1161437	6	1127803	33634	3.0%	-1
DAVIS	8	1116357	7	1072335	44022	4.1%	-1
RODRIGUEZ	9	1094924	9	804240	290684	36.1%	0
MARTINEZ	10	1060159	11	775072	285087	36.8%	1
HERNANDEZ	11	1043281	15	706372	336909	47.7%	4
LOPEZ	12	874523	21	621536	252987	40.7%	9
GONZALEZ	13	841025	23	597718	243307	40.7%	10
WILSON	14	801882	10	783051	18831	2.4%	-4
ANDERSON	15	784404	12	762394	22010	2.9%	-3
THOMAS	16	756142	14	710696	45446	6.4%	-2
TAYLOR	17	751209	13	720370	30839	4.3%	-4
MOORE	18	724374	16	698671	25703	3.7%	-2
JACKSON	19	708099	18	666125	41974	6.3%	-1
MARTIN	20	702625	17	672711	29914	4.4%	-3
LEE	21	693023	22	605860	87163	14.4%	1
PEREZ	22	681645	29	488521	193124	39.5%	7
THOMPSON	23	664644	19	644368	20276	3.1%	-4
WHITE	24	660491	20	639515	20976	3.3%	-4
HARRIS	25	624252	24	593542	30710	5.2%	-1
SANCHEZ	26	612752	33	441242	171510	38.9%	7
CLARK	27	562679	25	548369	14310	2.6%	-2
RAMIREZ	28	557423	42	388987	168436	43.3%	14
LEWIS	29	531781	26	509930	21851	4.3%	-3
ROBINSON	30	529821	27	503028	26793	5.3%	-3
WALKER	31	523129	28	501307	21822	4.4%	-3
YOUNG	32	484447	31	465948	18499	4.0%	-1
ALLEN	33	482607	32	463368	19239	4.2%	-1
KING	34	465422	35	438986	26436	6.0%	1
WRIGHT	35	458980	34	440367	18613	4.2%	-1
SCOTT	36	439530	36	420091	19439	4.6%	0
TORRES	37	437813	50	325169	112644	34.6%	13
NGUYEN	38	437645	57	310125	127520	41.1%	19
HILL	39	434827	41	411770	23057	5.6%	2
FLORES	40	433969	55	312615	121354	38.8%	15
GREEN	41	430182	37	413477	16705	4.0%	-4
ADAMS	42	427865	39	413086	14779	3.6%	-3
NELSON	43	424958	40	412236	12722	3.1%	-3
BAKER	44	419586	38	413351	6235	1.5%	-6
HALL	45	407076	30	473568	-66492	-14.0%	-15
RIVERA	46	391114	59	299463	91651	30.6%	13
CAMPBELL	47	386157	43	371953	14204	3.8%	-4
MITCHELL	48	384486	44	367433	17053	4.6%	-4
CARTER	49	376966	46	362548	14418	4.0%	-3
ROBERTS	50	376774	45	366215	10559	2.9%	-5
GOMEZ	51	365655	68	263590	102065	38.7%	17
PHILLIPS	52	360802	47	351848	8954	2.5%	-5
EVANS	53	355593	48	342237	13356	3.9%	-5
TURNER	54	348627	49	335663	12964	3.9%	-5
DIAZ	55	347636	73	251772	95864	38.1%	18
PARKER	56	336221	51	324246	11975	3.7%	-5
CRUZ	57	334201	82	231065	103136	44.6%	25
EDWARDS	58	332423	53	317070	15353	4.8%	-5
COLLINS	59	329770	52	317848	11922	3.8%	-7
REYES	60	327904	81	232511	95393	41.0%	21
STEWART	61	324957	54	312899	12058	3.9%	-7
MORRIS	62	318884	56	311754	7130	2.3%	-6
MORALES	63	311777	90	217642	94135	43.3%	27
MURPHY	64	308417	58	300501	7916	2.6%	-6
COOK	65	302589	60	294795	7794	2.6%	-5
ROGERS	66	302261	61	294403	7858	2.7%	-5
GUTIERREZ	67	293218	96	212905	80313	37.7%	29
ORTIZ	68	286899	94	214683	72216	33.6%	26
MORGAN	69	286280	62	276400	9880	3.6%	-7
COOPER	70	280791	64	270097	10694	4.0%	-6
PETERSON	71	278297	63	275041	3256	1.2%	-8
BAILEY	72	277845	66	265916	11929	4.5%	-6
REED	73	277030	65	267443	9587	3.6%	-8
KELLY	74	267394	69	260385	7009	2.7%	-5
HOWARD	75	264826	70	254779	10047	3.9%	-5
RAMOS	76	263464	112	193096	70368	36.4%	36
KIM	77	262352	109	194067	68285	35.2%	32
COX	78	261231	72	253771	7460	2.9%	-6
WARD	79	260464	71	254121	6343	2.5%	-8
RICHARDSON	80	259798	74	249533	10265	4.1%	-6
WATSON	81	252579	76	242432	10147	4.2%	-5
BROOKS	82	251663	77	240751	10912	4.5%	-5
CHAVEZ	83	250898	118	185865	65033	35.0%	35
WOOD	84	250715	75	247299	3416	1.4%	-9
JAMES	85	249379	80	233224	16155	6.9%	-5
BENNETT	86	247599	78	239055	8544	3.6%	-8
GRAY	87	246116	79	236713	9403	4.0%	-8
MENDOZA	88	242771	134	168567	74204	44.0%	46
RUIZ	89	238234	129	175429	62805	35.8%	40
HUGHES	90	236271	83	229390	6881	3.0%	-7
PRICE	91	235251	84	228756	6495	2.8%	-7
ALVAREZ	92	233983	132	168817	65166	38.6%	40
CASTILLO	93	230420	135	165473	64947	39.2%	42
SANDERS	94	230374	88	220902	9472	4.3%	-6
PATEL	95	229973	172	145066	84907	58.5%	77
MYERS	96	229895	85	224824	5071	2.3%	-11
LONG	97	229374	86	223494	5880	2.6%	-11
ROSS	98	229368	89	219961	9407	4.3%	-9
FOSTER	99	227764	87	221040	6724	3.0%	-12
JIMENEZ	100	227118	147	157475	69643	44.2%	47
POWELL	101	224874	91	216553	8321	3.8%	-10
JENKINS	102	222653	95	213737	8916	4.2%	-7
PERRY	103	221741	97	212644	9097	4.3%	-6
RUSSELL	104	221558	93	215432	6126	2.8%	-11
SULLIVAN	105	220990	92	215640	5350	2.5%	-13
BELL	106	220599	67	264752	-44153	-16.7%	-39
COLEMAN	107	219070	102	208624	10446	5.0%	-5
BUTLER	108	218847	98	210879	7968	3.8%	-10
HENDERSON	109	218393	101	210094	8299	4.0%	-8
BARNES	110	218241	99	210426	7815	3.7%	-11
GONZALES	111	214758	110	193934	20824	10.7%	-1
FISHER	112	214703	100	210279	4424	2.1%	-12
VASQUEZ	113	212781	143	159989	52792	33.0%	30
SIMMONS	114	210182	103	201650	8532	4.2%	-11
ROMERO	115	208614	154	153772	54842	35.7%	39
JORDAN	116	208403	105	197212	11191	5.7%	-11
PATTERSON	117	205423	104	198557	6866	3.5%	-13
ALEXANDER	118	204621	111	193443	11178	5.8%	-7
HAMILTON	119	201746	107	194331	7415	3.8%	-12
GRAHAM	120	201159	108	194074	7085	3.7%	-12
REYNOLDS	121	200247	106	195598	4649	2.4%	-15
GRIFFIN	122	198406	114	190636	7770	4.1%	-8
